Time (s),dln[C7H8O(3)]/dln[k1]: OH(8)+toluene(1)=MHCHD(4),dln[C7H8O(3)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H8O(3)]/dln[k4]: O2(6)+MHCHD(4)=S(514),dln[C7H8O(3)]/dln[k14]: O2(6)+MHCHD(4)=HO2(15)+C7H8O(3),dln[C7H8O(3)]/dG[MHCHD(4)],dln[C7H8O(3)]/dG[O2(6)],dln[C7H8O(3)]/dG[S(514)],dln[C7H8O(3)]/dG[S(513)]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.9999999999999997,-6.068257474322739e-19,-5.054770141117918e-09,0.9999999998304887,-2.8337399754483224e-14,-2.8337399754447798e-14,1.2489059496891471e-15,4.3066178793280634e-15
3.0000000000000002e-15,0.9999999999999997,-9.911487216045158e-19,-8.256123291837295e-09,0.9999999997231317,-7.021154936806092e-14,-7.021154936800306e-14,3.0945109818119024e-15,1.0670824241175949e-14
7e-15,1.0000000000000002,-2.575235637419029e-18,-2.1451318147843976e-08,0.999999999280632,-4.914064422945136e-13,-4.914064422943633e-13,2.1662181128439052e-14,7.469720375767094e-14
1.5e-14,0.9999999999999997,-5.385500727890911e-18,-4.4860337620504684e-08,0.99999999849561,-2.11219106451716e-12,-2.112191064516846e-12,9.313658283238976e-14,3.2115623686466174e-13
3.1e-14,0.9999999999999999,-1.094441862623993e-17,-9.116497845683616e-08,0.9999999969427779,-8.652617202464852e-12,-8.652617202464215e-12,3.8175455798035296e-13,1.3163402985636511e-12
6.300000000000001e-14,1.0000000000000002,-2.2044714037688323e-17,-1.8362744264193596e-07,0.999999993842014,-3.494249798783077e-11,-3.494249798782949e-11,1.5434382576764333e-12,5.321682932714479e-12
1.2700000000000001e-13,1.0,-4.4238933960752695e-17,-3.684964672730214e-07,0.9999999876422674,-1.401596403737652e-10,-1.4015964037376258e-10,6.205173422654376e-12,2.1392682370859953e-11
2.55e-13,0.9999999999999999,-8.862470631780738e-17,-7.382009565677342e-07,0.999999975243528,-5.594605245431351e-10,-5.594605245431299e-10,2.4882044396948495e-11,8.57631176956957e-11
5.11e-13,1.0,-1.7739504508903216e-16,-1.4775545319726619e-06,0.9999999504464222,-2.2202294513592585e-09,-2.2202294513592477e-09,9.964686571444958e-11,3.433084859989801e-10
1e-12,0.9662811526561301,-3.4097818776615334e-16,-2.8398363731448613e-06,0.9662810574073737,-8.360094378231672e-09,-8.360094378231649e-09,3.8200126920115916e-10,1.3149212921968068e-09
1.023e-12,1.0000000000000002,-3.549351799570956e-16,-2.9560757543889206e-06,0.999999900852502,-8.727266249852743e-09,-8.72726624985272e-09,3.9879975536945056e-10,1.372741311328407e-09
2.047e-12,1.0000000000000002,-7.100153105054146e-16,-5.9123915937970654e-06,0.999999801665261,-3.370704563862908e-08,-3.3707045638629043e-08,1.5954298210628892e-09,5.4819854489745e-09
4.095e-12,1.0,-1.4201760008430906e-15,-1.1822126526812895e-05,0.9999996032928917,-1.2602256417769486e-07,-1.2602256417769478e-07,6.38064263120903e-09,2.1846367782306965e-08
8.191e-12,1.0000000000000002,-2.840499563410278e-15,-2.363002467876216e-05,0.9999992065564092,-4.4513527740575413e-07,-4.4513527740575387e-07,2.5508195564174125e-08,8.671849839590643e-08
1e-11,0.4155953334105281,-1.807786768233156e-15,-1.5025289095144902e-05,0.41559482844744866,-4.047357865293654e-07,-4.047357865293652e-07,2.747187196548033e-08,9.232164227077416e-08
1.6383e-11,1.0000000000000002,-5.681155514093335e-15,-4.719962280777201e-05,0.9999984131160345,-1.440219385413308e-06,-1.4402193854133075e-06,1.0190701817774318e-07,3.415890485494792e-07
3.2767e-11,0.9999999999999999,-1.1362502054890202e-14,-9.415469318574281e-05,0.9999968263634736,-4.195571166831104e-06,-4.1955711668311036e-06,4.066061537238675e-07,1.3254045839627064e-06
6.5535e-11,0.9999999999999999,-2.2725329855892054e-14,-0.00018733344984104444,0.9999936533597956,-1.1409567157559832e-05,-1.1409567157559832e-05,1.6182690377675398e-06,4.9948866515734136e-06
9.999999999999999e-11,0.644446458812551,-2.6596820200684567e-14,-0.00021721299898967475,0.644439032437281,-1.797105273073027e-05,-1.797105273073027e-05,3.5620632718388515e-06,9.963722675144576e-06
1.31071e-10,1.0,-4.5451502999151885e-14,-0.00037080500559657977,0.9999873092972698,-3.160031709422847e-05,-3.160031709422847e-05,6.408539948752922e-06,1.782025363366765e-05
2.62143e-10,1.0000000000000002,-9.090578556274169e-14,-0.0007265095654711743,0.999974628590816,-9.223677704943656e-05,-9.223677704943653e-05,2.51293412534757e-05,5.768402177763179e-05
5.24287e-10,0.9999999999999999,-1.8182129827210633e-13,-0.0013952705310921907,0.9999492947030777,-0.00026699378679460737,-0.00026699378679460737,9.665337342169089e-05,0.0001596179739258421
9.999999999999999e-10,0.9305481753655944,-3.3419943796791463e-13,-0.0023722756335517697,0.9304551074609132,-0.0006640335505517836,-0.0006640335505517838,0.00032729188974524277,0.000326109933054347
1.0485750000000002e-09,1.0,-3.6367599864942685e-13,-0.0025788364619746887,0.9998987252912375,-0.0007250118856677395,-0.0007250118856677395,0.00035824055385430385,0.00035532813312249217
2.0971510000000003e-09,1.0000000000000002,-7.274603421140569e-13,-0.004440269480441272,0.9997979205612183,-0.0018704822199622669,-0.0018704822199622669,0.001240103752670877,0.0006185575659834571
4.194303e-09,0.9999999999999999,-1.4552312502323763e-12,-0.006764281335865634,0.9995973527265005,-0.0046929449142761185,-0.0046929449142761185,0.003816069267579983,0.0008648388312508889
