Time (s),dln[C7H7O2(7)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H7O2(7)]/dln[k3]: O2(6)+tolyl(2)=C7H7O2(7),dln[C7H7O2(7)]/dln[k8]: C7H7O2(7)=S(637),dln[C7H7O2(7)]/dln[k17]: O2(6)+S(637)=HO2(15)+C7H6O2(9),dln[C7H7O2(7)]/dG[C7H7O2(7)],dln[C7H7O2(7)]/dG[S(637)]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.9999999999999972,0.9999999977111743,-2.013196673717708e-14,-2.82770100581874e-34,-1.173525460794657e-17,2.8169288419986073e-24
3.0000000000000002e-15,0.9999999999999972,0.9999999962615842,-3.2882212343326567e-14,-1.0190196500948086e-33,-1.9167584887474106e-17,6.979723654608244e-24
7e-15,0.9999999999999971,0.9999999902867243,-8.543565982180144e-14,-1.9770615137372348e-32,-4.980188821566041e-17,4.8859465672362807e-23
1.5e-14,0.9999999999999971,0.9999999796869635,-1.7866862374485768e-13,-1.7277572772444409e-31,-1.0414906354522985e-16,2.1007160959459671e-22
3.1e-14,0.9999999999999973,0.9999999587198333,-3.630905098878896e-13,-1.4225882717036832e-30,-2.116522346079294e-16,8.610578946971347e-22
6.300000000000001e-14,0.9999999999999973,0.9999999168517341,-7.313523601075422e-13,-1.152407980504405e-29,-4.263206714623491e-16,3.48128435630308e-21
1.2700000000000001e-13,0.9999999999999972,0.9999998331395769,-1.4676646817349925e-12,-9.274179049607417e-29,-8.555395567689046e-16,1.3996143668872774e-20
2.55e-13,0.9999999999999976,0.9999996657253679,-2.9402007538766986e-12,-7.440914930388475e-28,-1.7139466094117304e-15,5.612404827462681e-20
5.11e-13,0.9999999999999972,0.9999993309016789,-5.885232590747021e-12,-5.961279930802724e-27,-3.430820865214139e-15,2.2477266303086866e-19
1e-12,0.9662811375032198,0.9662798514032136,-1.1312241875707406e-11,-4.5647033170026766e-26,-6.594944443720724e-15,8.617442164068965e-19
1.023e-12,0.9999999999999971,0.9999986612570653,-1.177527706585144e-11,-4.772410516304807e-26,-6.864892769553709e-15,8.996395823143567e-19
2.047e-12,0.9999999999999963,0.999997321971234,-2.3555356633474192e-11,-3.8192488960474848e-25,-1.3734369431538622e-14,3.5996389526168154e-18
4.095e-12,0.9999999999999959,0.9999946434094251,-4.7115511059967255e-11,-3.0558763187464123e-24,-2.7478673195573912e-14,1.4400593568431344e-17
8.191e-12,0.9999999999999946,0.9999892863233764,-9.423581727047906e-11,-2.4448115248851253e-23,-5.4988691084900205e-14,5.760547711924633e-17
