Time (s),dln[C7H6O2(9)]/dln[k2]: OH(8)+toluene(1)=H2O(14)+tolyl(2),dln[C7H6O2(9)]/dln[k3]: O2(6)+tolyl(2)=C7H7O2(7),dln[C7H6O2(9)]/dln[k8]: C7H7O2(7)=S(637),dln[C7H6O2(9)]/dln[k9]: O2(6)+S(637)=S(872),dln[C7H6O2(9)]/dln[k17]: O2(6)+S(637)=HO2(15)+C7H6O2(9),dln[C7H6O2(9)]/dG[O2(6)],dln[C7H6O2(9)]/dG[C7H7O2(7)],dln[C7H6O2(9)]/dG[S(637)],dln[C7H6O2(9)]/dG[S(872)]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.9999999999999977,0.9999999977111741,0.9999999999171194,-8.58665932729983e-09,0.9999999998304886,-3.655493077441571e-14,1.3992317006512657e-10,-1.399597484664046e-10,1.20923092362897e-16
3.0000000000000002e-15,0.999999999999998,0.9999999966711105,0.9999999998794579,-1.2488519333244697e-08,0.9999999997534617,-7.531913640174892e-14,2.0350559630485064e-10,-2.0358094957697738e-10,2.491365131738556e-16
7e-15,0.9999999999999972,0.9999999907737204,0.9999999996659062,-3.46129065489609e-08,0.999999999316699,-5.91059491438592e-13,5.640316761280577e-10,-5.646228302293299e-10,1.9550805324571366e-15
1.5e-14,0.9999999999999968,0.9999999812470085,0.9999999993209336,-7.035288946848257e-08,0.9999999986111476,-2.4240784197692396e-12,1.1464296075233462e-09,-1.1488538782435168e-09,8.019795079168442e-15
3.1e-14,0.9999999999999974,0.9999999623294397,0.9999999986359083,-1.4132317408203392e-07,0.9999999972101069,-9.756348008703181e-12,2.3029202381443994e-09,-2.3126769724415545e-09,3.229208026591785e-14
6.300000000000001e-14,0.9999999999999972,0.9999999245217144,0.9999999972668493,-2.8316081413795217e-07,0.9999999944100556,-3.909643744587012e-11,4.614225165555987e-09,-4.6533223769853015e-09,1.2952176495882781e-13
1.2700000000000001e-13,0.9999999999999973,0.9999998489146091,0.9999999945290354,-5.668044372051636e-07,0.9999999888105736,-1.5629818932306436e-10,9.236322914753111e-09,-9.392622653364032e-09,5.187502937461352e-13
2.55e-13,0.9999999999999971,0.9999996977035994,0.9999999890535278,-1.134078281607523e-06,0.9999999776118563,-6.232870959339909e-10,1.8480315062618428e-08,-1.910360525841627e-08,2.0762922487849605e-12
5.11e-13,0.9999999999999973,0.9999993952830716,0.9999999781025849,-2.2686148022224515e-06,0.9999999552145694,-2.4757495518941345e-09,3.6968177512818374e-08,-3.944393326571307e-08,8.307701233181883e-12
1e-12,0.9578771691258924,0.957876012211968,0.9578771272329585,-4.340171037686155e-06,0.9578770834448577,-9.33084345829412e-09,7.072549652203496e-08,-8.005635184377061e-08,3.176591389350634e-11
1.023e-12,0.999999999999997,0.9999987904431401,0.9999999562008135,-4.537661340270017e-06,0.9999999104202275,-9.76246181541819e-09,7.394371110941594e-08,-8.370618532809663e-08,3.323566883198158e-11
2.047e-12,0.999999999999997,0.9999975807655429,0.9999999123976412,-9.07565683902804e-06,0.9999998208323042,-3.796691766522785e-08,1.478941505256748e-07,-1.8586109299866554e-07,1.3295098203485887e-10
4.095e-12,0.9999999999999959,0.9999951614183477,0.9999998247927394,-1.815126204012112e-05,0.999999641659411,-1.4392096066661662e-07,2.957925916310846e-07,-4.397136019143831e-07,5.318093619585809e-10
8.191e-12,0.9999999999999946,0.9999903227554544,0.9999996495886583,-3.630093486431531e-05,0.9999992833253276,-5.218443385130422e-07,5.915798130421096e-07,-1.1134242507893486e-06,2.127159258313709e-09
1e-11,0.2695169824978717,0.2695122373465633,0.2695168106821152,-1.7798176072614254e-05,0.2695166310937189,-4.157994818376803e-07,2.9006690521168417e-07,-7.058664357079753e-07,1.9823054252008876e-09
1.6383e-11,0.999999999999992,0.9999806455555383,0.9999992992031371,-7.259415600147085e-05,0.9999985667034786,-1.7678686882194389e-06,1.1831160229798543e-06,-2.9509849096672294e-06,8.507771210739785e-09
3.2767e-11,0.9999999999999872,0.9999612916599293,0.9999985985212064,-0.0001451562555965429,0.9999971336420812,-5.507866533500162e-06,2.3660379627406513e-06,-7.873904893171057e-06,3.402371334283376e-08
6.5535e-11,0.999999999999977,0.9999225858901988,0.9999971975055846,-0.0002901839737301146,0.999994268231693,-1.5868470195370057e-05,4.731293783681613e-06,-2.0599764772885804e-05,1.360354001301822e-07
9.999999999999999e-11,0.5555373233260683,0.5554536108863456,0.5555342935736816,-0.00031354606201918525,0.5555311267615538,-2.2812714195643426e-05,5.114960286186335e-06,-2.7927675340249383e-05,2.8994510033334895e-07
1.31071e-10,0.9999999999999561,0.9998451824598018,0.9999943968238841,-0.0005798582924586994,0.9999885401717233,-4.24844466951055e-05,9.459526510024519e-06,-5.194397479268875e-05,5.436694309270641e-07
2.62143e-10,0.9999999999999152,0.9996904081326697,0.999988800652341,-0.0011577062525467284,0.9999770946729575,-0.00010163373732494156,1.8907224684604977e-05,-0.00012054096518422088,2.170951092420924e-06
5.24287e-10,0.9999999999998328,0.9993809898747331,0.9999776282783082,-0.002307501136459601,0.9999542445268367,-0.0002048382297498977,3.776890011968937e-05,-0.00024260713621715552,8.654468367297332e-06
9.999999999999999e-10,0.9131587421547522,0.9120324593409121,0.9131181089463134,-0.00417259790597819,0.9130756376599887,-0.00031611528583473463,6.859868643858109e-05,-0.000384713983822654,3.125144939882201e-05
1.0485750000000002e-09,0.9999999999996687,0.9987626750317485,0.9999553609465485,-0.004583890447166998,0.999908702607903,-0.00034708255528711514,7.536152127650085e-05,-0.00042244408925162325,3.438713167333748e-05
2.0971510000000003e-09,0.9999999999993404,0.9975281292691109,0.9999111280850073,-0.00904584679739328,0.9998182361771627,-0.0005499912442751823,0.00015003712303864137,-0.0007000283926613381,0.0001357398081807122
4.194303e-09,0.9999999999986828,0.9950673525821049,0.9998238298316882,-0.017619570046211213,0.9996396916503878,-0.0010105317590250642,0.0002974168684857417,-0.0013079486780920723,0.0005289510593313059
8.388607e-09,0.9999999999973681,0.990178902690135,0.9996536300145068,-0.03346151729397938,0.9992915970613693,-0.0025252045993531718,0.0005847518509858538,-0.003109956551048329,0.0020102877529207972
9.999999999999999e-09,0.24478786941884634,0.24053089861232516,0.2446407052304853,-0.01340186749903468,0.24448688836867707,-0.0016331374252377448,0.00024844506384484334,-0.0018815825327352011,0.0015060353066702458
1.6777215e-08,0.9999999999947353,0.9805331312155627,0.9993289070212067,-0.0605884483838749,0.9986274781423714,-0.007809092579388825,0.0011329493180186928,-0.008942042097028263,0.007288674643797063
3.3554431e-08,0.9999999999894615,0.9617550400143952,0.9987300714855726,-0.10075350714432242,0.9974027758516006,-0.02479895449717194,0.0021438804744417996,-0.02694283536379217,0.024296602155637198
6.7108863e-08,0.9999999999788877,0.9261569966172939,0.9976709810258761,-0.1457945443122875,0.9952368700875192,-0.07108160245502144,0.003931727514231571,-0.07501333072646704,0.07061728891057087
9.999999999999998e-08,0.5286650167693874,0.4581881989270376,0.5265418972047086,-0.09040154411387193,0.5243231275813727,-0.08568426196671736,0.003584011815930074,-0.08926827450534291,0.08546335641889367
1.34217727e-07,0.9999999999576777,0.8620117807359627,0.9958513128517742,-0.17298211877645475,0.9915157335510337,-0.16923365672557514,0.00700333629894293,-0.17623699443950053,0.16881945534481682
