Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858941e-34,0.0,5.910362377459368e-38,0.0,0.2099999999789998,1.388904609171447e-42,9.999999998999991e-16,0.0,0.0,6.068196791747986e-34
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9938360795901085e-33,0.0,1.9419762097366494e-37,0.0,0.2099999999789998,9.127087422615337e-42,9.999999998999991e-16,0.0,0.0,1.993836088717195e-33
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.421114755812654e-33,0.0,4.3061211607203975e-37,0.0,0.2099999999789998,4.960373567126139e-41,9.999999998999991e-16,0.0,0.0,4.42111480541639e-33
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.275672019367855e-33,0.0,9.034411062687895e-37,0.0,0.2099999999789998,2.1944692424904764e-40,9.999999998999991e-16,0.0,0.0,9.275672238814778e-33
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.89847861909187e-32,0.0,1.8490990866622888e-36,0.0,0.2099999999789998,9.146928567055738e-40,9.999999998999991e-16,0.0,0.0,1.8984787105611557e-32
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.8403013111782275e-32,0.0,3.740415047449288e-36,0.0,0.2099999999789998,3.727422838654266e-39,9.999999998999991e-16,0.0,0.0,3.8403016839205115e-32
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.723946126455778e-32,0.0,7.523046969023286e-36,0.0,0.2099999999789998,1.5041834437348924e-38,9.999999998999991e-16,0.0,0.0,7.723947630639223e-32
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5491233481430893e-31,0.0,1.508831081217128e-35,0.0,0.2099999999789998,6.042645750716706e-38,9.999999998999991e-16,0.0,0.0,1.5491239524076644e-31
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1025799089066507e-31,0.0,3.0218838498467265e-35,0.0,0.2099999999789998,2.4221884980246745e-37,9.99999999899999e-16,0.0,0.0,3.1025823310951486e-31
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.069921190188114e-31,0.0,5.912051052424358e-35,0.0,0.2099999999789998,9.37207179690591e-37,9.999999998999985e-16,0.0,0.0,6.069930562259913e-31
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.209489389512192e-31,0.0,6.047989387105924e-35,0.0,0.2099999999789998,9.698957923438156e-37,9.999999998999985e-16,0.0,0.0,6.209499088470117e-31
2.047e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2423293787071087e-30,0.0,1.2100200461624311e-34,0.0,0.2099999999789998,3.8816148958622303e-36,9.99999999899998e-16,0.0,0.0,1.2423332603220046e-30
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4850844327853193e-30,0.0,2.420462261066107e-34,0.0,0.2099999999789998,1.5530486669831757e-35,9.999999998999968e-16,0.0,0.0,2.4850999632719894e-30
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841346690873453e-34,0.0,0.2099999999789998,6.21297460330682e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.910531244955842e-34,0.0,0.2099999999789998,1.0329218834646441e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.68311555048812e-34,0.0,0.2099999999789998,2.485325804340309e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.9366653269717363e-33,0.0,0.2099999999789998,9.941415317645752e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29
6.5535e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.9764124591039e-29,0.0,3.8733728708175464e-33,0.0,0.2099999999789998,3.9764607315729155e-33,9.999999998999595e-16,0.0,0.0,3.9768101051770574e-29
9.999999999999999e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.067189188980711e-29,0.0,5.910379264208755e-33,0.0,0.2099999999789998,1.0249404721231971e-32,9.999999998999386e-16,0.0,0.0,6.068214129452833e-29
1.31071e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.952073093637679e-29,0.0,7.746787958509011e-33,0.0,0.2099999999789998,1.5904609790220702e-32,9.999999998999197e-16,0.0,0.0,7.953663554616701e-29
2.62143e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5901009673850017e-28,0.0,1.5493618133891325e-32,0.0,0.2099999999789998,6.360779645341165e-32,9.999999998998402e-16,0.0,0.0,1.5907370453495358e-28
5.24287e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.178934979869407e-28,0.0,3.098727848465349e-32,0.0,0.2099999999789998,2.5434452556069773e-31,9.99999999899681e-16,0.0,0.0,3.181478425125014e-28
9.999999999999999e-10,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.058738003728011e-28,0.0,5.910364066131887e-32,0.0,0.2099999999789998,9.460521787974241e-31,9.999999998993923e-16,0.0,0.0,6.0681985255159855e-28
1.0485750000000002e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.3527943609937e-28,0.0,6.197459918616796e-32,0.0,0.2099999999789998,1.0166823681258095e-30,9.99999999899363e-16,0.0,0.0,6.362961184674958e-28
2.0971510000000003e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2685315023424426e-27,0.0,1.2394924058915747e-31,0.0,0.2099999999789998,4.061168034636984e-30,9.999999998987265e-16,0.0,0.0,1.2725926703770797e-27
4.194303e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.52898543595211e-27,0.0,2.4789852339497864e-31,0.0,0.2099999999789998,1.6200338242517742e-29,9.999999998974539e-16,0.0,0.0,2.545185774194628e-27
8.388607e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.025922626918718e-27,0.0,4.957970890059902e-31,0.0,0.2099999999789998,6.444935490452751e-29,9.999999998949084e-16,0.0,0.0,5.0903719818232454e-27
9.999999999999999e-09,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,5.967139586712397e-27,0.0,5.910362546300344e-31,0.0,0.2099999999789998,1.0105737838540875e-28,9.999999998939304e-16,0.0,0.0,6.068196965097805e-27
1.6777215e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.92572057730136e-27,0.0,9.915942202254893e-31,0.0,0.2099999999789998,2.5502381975320726e-28,9.999999998898175e-16,0.0,0.0,1.0180744397054567e-26
3.3554431e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899999e-11,1.936292657034965e-26,0.0,1.9831884826543906e-30,0.0,0.2099999999789998,9.985626570638994e-28,9.999999998796357e-16,0.0,0.0,2.0361489227413545e-26
6.7108863e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999987e-11,3.689116536838955e-26,0.0,3.966377007471808e-30,0.0,0.2099999999789998,3.831813519327326e-27,9.999999998592722e-16,0.0,0.0,4.072297888771688e-26
9.999999999999998e-08,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999986e-11,5.178518211813778e-26,0.0,5.91036239408008e-30,0.0,0.2099999999789998,8.896785969987686e-27,9.999999998393113e-16,0.0,0.0,6.068196808812546e-26
1.34217727e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999983e-11,6.727991551930639e-26,0.0,7.932754056945105e-30,0.0,0.2099999999789998,1.416604268735861e-26,9.999999998185453e-16,0.0,0.0,8.1445958206665e-26
2.68435455e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999975e-11,1.1377429520663535e-25,0.0,1.5865508155245538e-29,0.0,0.2099999999789998,4.9117621631291726e-26,9.999999997370915e-16,0.0,0.0,1.628919168379271e-25
5.36870911e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999958e-11,1.7137380127447398e-25,0.0,3.1731016349261753e-29,0.0,0.2099999999789998,1.5441003279944065e-25,9.999999995741836e-16,0.0,0.0,3.2578383407391454e-25
9.999999999999997e-07,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899993e-11,2.159608835443928e-25,0.0,5.910362376675104e-29,0.0,0.2099999999789998,3.908587955498848e-25,9.999999992931204e-16,0.0,0.0,6.068196790942776e-25
1.0737418230000002e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999926e-11,2.230602707496625e-25,0.0,6.346203272695565e-29,0.0,0.2099999999789998,4.285073976900807e-25,9.99999999248368e-16,0.0,0.0,6.515676684397432e-25
2.1474836470000003e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999861e-11,2.5295751171280407e-25,0.0,1.269240654409892e-28,0.0,0.2099999999789998,1.0501778250340102e-24,9.99999998596737e-16,0.0,0.0,1.3031353367468144e-24
4.294967295e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999731e-11,2.630661023489669e-25,0.0,2.5384813070363925e-28,0.0,0.2099999999789998,2.343204569313646e-24,9.999999972934747e-16,0.0,0.0,2.6062706716626126e-24
8.589934591e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.99999999899947e-11,2.649328100950017e-25,0.0,5.076962605672712e-28,0.0,0.2099999999789998,4.947608524605832e-24,9.999999946869503e-16,0.0,0.0,5.212541334700833e-24
9.999999999999997e-06,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999385e-11,2.6496247481551585e-25,0.0,5.910362351294562e-28,0.0,0.2099999999789998,5.80323429006894e-24,9.999999938312115e-16,0.0,0.0,6.068196764884457e-24
1.7179869183e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998998949e-11,2.6511352370394534e-25,0.0,1.0153925176478633e-27,0.0,0.2099999999789998,1.0159969109899823e-23,9.999999894739012e-16,0.0,0.0,1.0425082633603768e-23
3.4359738367e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998997906e-11,2.651225154606023e-25,0.0,2.030785021222359e-27,0.0,0.2099999999789998,2.0585042607255013e-23,9.999999790478034e-16,0.0,0.0,2.0850165122715618e-23
6.8719476735e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998995821e-11,2.6512279831346314e-25,0.0,4.0615699860245994e-27,0.0,0.2099999999789998,4.1435206867849785e-23,9.99999958195608e-16,0.0,0.0,4.170032966616325e-23
9.999999999999998e-05,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998993923e-11,2.651228522081466e-25,0.0,5.9103621103445274e-27,0.0,0.2099999999789998,6.041684232279119e-23,9.999999392121235e-16,0.0,0.0,6.068196517499934e-23
