Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858941e-34,0.0,5.910362347583841e-38,0.0,0.2099999999789998,1.388904609171447e-42,9.999999998999991e-16,0.0,0.0,6.068196791747986e-34,2.9875527695877216e-46
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9938360795901085e-33,0.0,1.941976190104162e-37,0.0,0.2099999999789998,9.127087422615337e-42,9.999999998999991e-16,0.0,0.0,1.993836088717195e-33,1.9632488336651196e-45
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.421114755812654e-33,0.0,4.306121054022138e-37,0.0,0.2099999999789998,4.960373567126139e-41,9.999999998999991e-16,0.0,0.0,4.42111480541639e-33,1.0669826048320639e-44
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.275672019367855e-33,0.0,9.034410590655128e-37,0.0,0.2099999999789998,2.1944692424904764e-40,9.999999998999991e-16,0.0,0.0,9.275672238814778e-33,4.720327685686956e-44
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.89847861909187e-32,0.0,1.8490988899111097e-36,0.0,0.2099999999789998,9.146928567055738e-40,9.999999998999991e-16,0.0,0.0,1.8984787105611557e-32,1.967511787608545e-43
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.8403013111782275e-32,0.0,3.7404142456797856e-36,0.0,0.2099999999789998,3.727422838654266e-39,9.999999998999991e-16,0.0,0.0,3.8403016839205115e-32,8.017695018830354e-43
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.723946126455778e-32,0.0,7.523043733538915e-36,0.0,0.2099999999789998,1.5041834437348924e-38,9.999999998999991e-16,0.0,0.0,7.723947630639223e-32,3.235484370832383e-42
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5491233481430893e-31,0.0,1.5088297814639118e-35,0.0,0.2099999999789998,6.042645750716706e-38,9.999999998999991e-16,0.0,0.0,1.5491239524076644e-31,1.2997532164973612e-41
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1025799089066507e-31,0.0,3.021878639912593e-35,0.0,0.2099999999789998,2.4221884980246745e-37,9.99999999899999e-16,0.0,0.0,3.1025823310951486e-31,5.209934133100488e-41
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.069921190188114e-31,0.0,5.912030894714926e-35,0.0,0.2099999999789998,9.37207179690591e-37,9.999999998999985e-16,0.0,0.0,6.069930562259913e-31,2.0157709430857823e-40
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.209489389512192e-31,0.0,6.047968526331396e-35,0.0,0.2099999999789998,9.698957923438156e-37,9.999999998999985e-16,0.0,0.0,6.209499088470117e-31,2.086077452666236e-40
2.047e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2423293787071087e-30,0.0,1.2100116982108967e-34,0.0,0.2099999999789998,3.8816148958622303e-36,9.99999999899998e-16,0.0,0.0,1.2423332603220046e-30,8.34795153416712e-40
