Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858941e-34,0.0,5.910362339379479e-38,0.0,0.2099999999789998,1.388904609171447e-42,9.999999998999991e-16,0.0,0.0,6.068196791747986e-34,2.987552765440605e-46,8.204363696952259e-47
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9938360795901085e-33,0.0,1.9419761847127274e-37,0.0,0.2099999999789998,9.127087422615337e-42,9.999999998999991e-16,0.0,0.0,1.993836088717195e-33,1.9632488297549816e-45,5.391434679080795e-46
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.421114755812654e-33,0.0,4.306121024721017e-37,0.0,0.2099999999789998,4.960373567126139e-41,9.999999998999991e-16,0.0,0.0,4.42111480541639e-33,1.0669825985166347e-44,2.9301122590306776e-45
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.275672019367855e-33,0.0,9.03441046102809e-37,0.0,0.2099999999789998,2.1944692424904764e-40,9.999999998999991e-16,0.0,0.0,9.275672238814778e-33,4.72032762695279e-44,1.296270431285831e-44
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.89847861909187e-32,0.0,1.8490988358812285e-36,0.0,0.2099999999789998,9.146928567055738e-40,9.999999998999991e-16,0.0,0.0,1.8984787105611557e-32,1.9675117380378504e-43,5.402988677075534e-44
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.8403013111782275e-32,0.0,3.740414025512537e-36,0.0,0.2099999999789998,3.727422838654266e-39,9.999999998999991e-16,0.0,0.0,3.8403016839205115e-32,8.017694613135107e-43,2.201672890904702e-43
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.723946126455778e-32,0.0,7.523042845124642e-36,0.0,0.2099999999789998,1.5041834437348924e-38,9.999999998999991e-16,0.0,0.0,7.723947630639223e-32,3.2354840428591277e-42,8.884146000351886e-43
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5491233481430893e-31,0.0,1.5088294246159575e-35,0.0,0.2099999999789998,6.042645750716706e-38,9.999999998999991e-16,0.0,0.0,1.5491239524076644e-31,1.2997529528205036e-41,3.568482175300662e-42
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1025799089066507e-31,0.0,3.0218772098773323e-35,0.0,0.2099999999789998,2.4221884980246745e-37,9.99999999899999e-16,0.0,0.0,3.1025823310951486e-31,5.209932019006379e-41,1.4300373758221596e-41
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.069921190188114e-31,0.0,5.912025364491376e-35,0.0,0.2099999999789998,9.37207179690591e-37,9.999999998999985e-16,0.0,0.0,6.069930562259913e-31,2.015769317177332e-40,5.530239811220941e-41
