Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858941e-34,0.0,5.910362337529926e-38,0.0,0.2099999999789998,1.388904609171447e-42,9.999999998999991e-16,0.0,0.0,6.068196791747986e-34,2.987552764505698e-46,8.204363694384834e-47,1.8495501533265632e-47
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9938360795901085e-33,0.0,1.9419761834973323e-37,0.0,0.2099999999789998,9.127087422615337e-42,9.999999998999991e-16,0.0,0.0,1.993836088717195e-33,1.9632488288735108e-45,5.391434676660116e-46,1.2153958864605271e-46
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.421114755812654e-33,0.0,4.30612101811641e-37,0.0,0.2099999999789998,4.960373567126139e-41,9.999999998999991e-16,0.0,0.0,4.42111480541639e-33,1.0669825970930971e-44,2.9301122551214056e-45,6.604606725485728e-46
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.275672019367855e-33,0.0,9.034410431815232e-37,0.0,0.2099999999789998,2.1944692424904764e-40,9.999999998999991e-16,0.0,0.0,9.275672238814778e-33,4.720327613716121e-44,1.2962704276508474e-44,2.921286077773669e-45
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.89847861909187e-32,0.0,1.8490988237096224e-36,0.0,0.2099999999789998,9.146928567055738e-40,9.999999998999991e-16,0.0,0.0,1.8984787105611557e-32,1.9675117268702593e-43,5.402988646408127e-44,1.2171607397124466e-44
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.8403013111782275e-32,0.0,3.74041397595168e-36,0.0,0.2099999999789998,3.727422838654266e-39,9.999999998999991e-16,0.0,0.0,3.8403016839205115e-32,8.01769452180192e-43,2.20167286582435e-43,4.956086850383001e-44
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.723946126455778e-32,0.0,7.523042645438807e-36,0.0,0.2099999999789998,1.5041834437348924e-38,9.999999998999991e-16,0.0,0.0,7.723947630639223e-32,3.2354839691270565e-42,8.884145797893207e-43,1.9968592980352385e-43
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5491233481430893e-31,0.0,1.5088293446492469e-35,0.0,0.2099999999789998,6.042645750716706e-38,9.999999998999991e-16,0.0,0.0,1.5491239524076644e-31,1.2997528937090803e-41,3.5684820130071205e-42,7.996678601599389e-43
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1025799089066507e-31,0.0,3.0218768913310676e-35,0.0,0.2099999999789998,2.4221884980246745e-37,9.99999999899999e-16,0.0,0.0,3.1025823310951486e-31,5.20993154770688e-41,1.430037246454264e-41,3.185468643701083e-42
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.069921190188114e-31,0.0,5.912024146982886e-35,0.0,0.2099999999789998,9.37207179690591e-37,9.999999998999985e-16,0.0,0.0,6.069930562259913e-31,2.0157689586810478e-40,5.53023882762942e-41,1.2175130563337374e-41
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.209489389512192e-31,0.0,6.047961543465487e-35,0.0,0.2099999999789998,9.698957923438156e-37,9.999999998999985e-16,0.0,0.0,6.209499088470117e-31,2.0860753870858296e-40,5.723090844739908e-41,1.2597957197594295e-41
2.047e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.2423293787071087e-30,0.0,1.210008918241117e-34,0.0,0.2099999999789998,3.8816148958622303e-36,9.99999999899998e-16,0.0,0.0,1.2423332603220046e-30,8.347935081688581e-40,2.2879716852321142e-40,4.920145468314859e-41
4.095e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,2.4850844327853193e-30,0.0,2.420417854429914e-34,0.0,0.2099999999789998,1.5530486669831757e-35,9.999999998999968e-16,0.0,0.0,2.4850999632719894e-30,3.3394511129515055e-39,9.134606576538576e-40,1.877518487133037e-40
8.191e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.970571239425919e-30,0.0,4.841169886544316e-34,0.0,0.2099999999789998,6.21297460330682e-35,9.999999998999942e-16,0.0,0.0,4.970633369171952e-30,1.3354772545967268e-38,3.6386706094624e-39,6.869897583857887e-40
1e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.0682668766108056e-30,0.0,5.910238556149431e-34,0.0,0.2099999999789998,1.0329218834646441e-34,9.999999998999932e-16,0.0,0.0,6.068370168799151e-30,2.2194321255203168e-38,6.022090633441385e-39,1.0524687524738699e-39
1.6383e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.941451648391419e-30,0.0,9.68241396692304e-34,0.0,0.2099999999789998,2.485325804340309e-34,9.999999998999893e-16,0.0,0.0,9.941700180971852e-30,5.338439279254573e-38,1.4431913747348437e-38,2.342049968208652e-39
3.2767e-11,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9882839663039792e-29,0.0,1.9363881332419602e-33,0.0,0.2099999999789998,9.941415317645752e-34,9.999999998999794e-16,0.0,0.0,1.9883833804571558e-29,2.1323980004241994e-37,5.676293349892186e-38,7.190996234422387e-39
