Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871),S(870),HO2(15)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858957e-34,1.0018725032873816e-47,5.910362336528056e-38,0.0,0.2099999999789998,1.3889046091714227e-42,9.999999998999991e-16,4.7397667483638344e-66,0.0,6.068196791747986e-34,2.98755274388304e-46,8.204363692994105e-47,1.8495501530130438e-47,2.0116237961832652e-54,2.7961381095436726e-56,2.4009485838405512e-64,4.624706732477505e-65,8.750051813898796e-66,1.1714317971299116e-47
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.4159125785682917e-33,4.452766661747244e-47,1.379084536548853e-37,0.0,0.2099999999789998,6.172909365146948e-42,9.999999998999991e-16,5.219594956028528e-65,0.0,1.4159125847411961e-33,1.3278010849774706e-45,3.646379604694174e-46,8.219998423031706e-47,1.460099906010174e-53,2.0297891324454406e-55,2.6440075505261946e-63,5.09287556803668e-64,9.635670703032992e-65,4.848405014046479e-47
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.84319126008191e-33,2.9833536094374287e-46,3.7432293838408713e-37,0.0,0.2099999999789998,4.1358492499371157e-41,9.999999998999991e-16,2.4480601705466726e-63,0.0,3.84319130144039e-33,8.896263554439784e-45,2.4430625740434042e-45,5.5067791161036466e-46,2.5401231782088613e-52,3.533489942255466e-54,1.240075042318822e-61,2.3885969658393157e-62,4.518757091997268e-63,3.0907411622043644e-46
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,8.697748534219255e-33,1.4471490924946537e-45,8.471518816472984e-37,0.0,0.2099999999789998,2.006195510420536e-40,9.999999998999991e-16,5.105629447911313e-62,0.0,8.697748734838778e-33,4.315348527528301e-44,1.1850575456050342e-44,2.670665584835522e-45,2.573957624997497e-51,3.5844415876247713e-53,2.5862777026829816e-60,4.9815126412831866e-61,9.422546412470432e-62,1.4714525912787498e-45
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.8406862726934388e-32,6.3095696430168e-45,1.7928096633970217e-36,0.0,0.2099999999789998,8.747012242032169e-40,9.999999998999991e-16,9.124325337472882e-61,0.0,1.8406863601635557e-32,1.881489201470585e-43,5.166763614034277e-44,1.1639505617575602e-44,2.275742783176477e-50,3.175956562240874e-52,4.621964399593362e-59,8.902154907845046e-60,1.683313776226691e-60,6.361002628815702e-45
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.782508969012653e-32,2.6293580820533575e-44,3.684124807822193e-36,0.0,0.2099999999789998,3.6451026906596454e-39,9.999999998999991e-16,1.537297573893423e-59,0.0,3.782509333522911e-32,7.840621905656758e-43,2.1530493988967593e-43,4.846657968790744e-44,1.902085932449515e-49,2.6658534907521893e-51,7.787242800440068e-58,1.4997443507855062e-58,2.8340877004380904e-59,2.63992727803621e-44
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.666153792755917e-32,1.0729826529860308e-43,7.466753420635057e-36,0.0,0.2099999999789998,1.4874857270756295e-38,9.999999998999991e-16,2.5221439824421694e-58,0.0,7.666155280241622e-32,3.199565822174354e-42,8.785526231940873e-43,1.974703597063898e-43,1.5444947320628313e-48,2.1831286832777717e-50,1.277601844422145e-56,2.460135342440688e-57,4.643099395789485e-58,1.0751247520649108e-43
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5433441164662453e-31,4.3345413732891835e-43,1.5032003944178594e-35,0.0,0.2099999999789998,6.009016635286583e-38,9.999999998999991e-16,4.085649202033597e-57,0.0,1.5433447173679043e-31,1.2925181483865767e-41,3.5486231382395e-42,7.952220242304784e-43,1.2291368651597176e-47,1.766768960239889e-49,2.0696003545532705e-55,3.983913482386086e-56,7.500103758990955e-57,4.338853831329285e-43
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.0968006806160887e-31,1.7423507310540186e-42,3.016247819933297e-35,0.0,0.2099999999789998,2.4154393087022947e-37,9.99999999899999e-16,6.577309903704262e-56,0.0,3.096803096055388e-31,5.195404865356737e-41,1.4260528722395612e-41,3.176610874039932e-42,9.570623578113356e-47,1.42153808768463e-48,3.3317564078749593e-54,6.409389422360003e-55,1.2006068058733337e-55,1.743216048650327e-42
